machine_identifier,timestamp,accumulated_dead_time,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-04T00:00:00.000Z,35.973,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-17T06:00:00.000Z,14.188,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-18T14:00:00.000Z,111.604,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-19T06:00:00.000Z,240.811,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-20T01:00:00.000Z,61.59,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-25T22:00:00.000Z,51.748,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-31T19:00:00.000Z,281.319,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-02T14:00:00.000Z,198.18699999999998,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-03T01:00:00.000Z,238.13,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-06T06:00:00.000Z,13.336,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-13T05:00:00.000Z,38.964,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-14T00:00:00.000Z,115.68599999999999,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-16T01:00:00.000Z,12.252,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-17T03:00:00.000Z,209.69,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-23T11:00:00.000Z,54.893,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-06-30T02:00:00.000Z,41.085,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-07-12T07:00:00.000Z,148.389,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-07-18T06:00:00.000Z,213.546,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-07-18T19:00:00.000Z,92.748,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-07-25T13:00:00.000Z,136.27,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-07-26T05:00:00.000Z,157.634,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-07-29T06:00:00.000Z,235.795,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-20T09:00:00.000Z,192.746,1.0.130.1.1179.0.3.0,1,0,1,1179
innovative_cheese_machine,2022-05-25T06:00:00.000Z,15.8,1.0.130.1.1179.0.3.0,1,0,1,1179
innovative_cheese_machine,2022-06-02T07:00:00.000Z,106.921,1.0.130.1.1179.0.3.0,1,0,1,1179
innovative_cheese_machine,2022-07-19T04:00:00.000Z,202.571,1.0.130.1.1179.0.3.0,1,0,1,1179
innovative_cheese_machine,2022-05-24T14:00:00.000Z,1076.786,10.0.621.0.2300.0.0.0,10,0,0,2300
innovative_cheese_machine,2022-05-24T15:00:00.000Z,143.976,10.0.621.0.2300.0.0.0,10,0,0,2300
innovative_cheese_machine,2022-07-22T19:00:00.000Z,12.997,10.0.621.0.2300.0.0.0,10,0,0,2300
innovative_cheese_machine,2022-05-24T15:00:00.000Z,159.182,14.0.0.0.1427.0.1.0,14,0,0,1427
innovative_cheese_machine,2022-05-30T04:00:00.000Z,0.0,14.0.0.0.1427.0.1.0,14,0,0,1427
innovative_cheese_machine,2022-05-10T00:00:00.000Z,109.825,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-05-11T23:00:00.000Z,105.333,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-05-17T11:00:00.000Z,114.918,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-05-24T06:00:00.000Z,135.894,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-06-09T21:00:00.000Z,104.457,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-06-14T14:00:00.000Z,88.301,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-06-14T21:00:00.000Z,3273.101,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-06-23T22:00:00.000Z,23.42,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-06-24T02:00:00.000Z,97.853,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-07-14T13:00:00.000Z,115.049,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-07-28T11:00:00.000Z,142.533,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-07-29T14:00:00.000Z,201.138,2.0.107.0.1175.0.0.0,2,0,0,1175
innovative_cheese_machine,2022-05-20T05:00:00.000Z,229.811,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-24T02:00:00.000Z,187.747,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-25T00:00:00.000Z,162.973,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-25T21:00:00.000Z,191.134,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-01T22:00:00.000Z,202.387,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-02T11:00:00.000Z,263.117,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-03T03:00:00.000Z,199.886,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-05T05:00:00.000Z,185.99,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-05T20:00:00.000Z,22.001,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-05T21:00:00.000Z,101.85,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-07T22:00:00.000Z,138.85,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-10T19:00:00.000Z,18.961,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-14T23:00:00.000Z,148.065,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-17T03:00:00.000Z,16.864,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-22T07:00:00.000Z,215.105,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-23T00:00:00.000Z,119.426,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-06-27T09:00:00.000Z,197.742,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-07-14T21:00:00.000Z,134.442,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-07-22T15:00:00.000Z,180.861,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-07-28T16:00:00.000Z,204.026,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-07-30T02:00:00.000Z,15.044,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-30T14:00:00.000Z,114.333,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-07-07T12:00:00.000Z,130.446,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-25T07:00:00.000Z,15.375,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-06-01T04:00:00.000Z,19.861,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-06-13T04:00:00.000Z,30.309,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-06-13T05:00:00.000Z,17.88,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-11T16:00:00.000Z,17.216,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-11T18:00:00.000Z,69.35600000000001,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-11T19:00:00.000Z,68.761,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-12T12:00:00.000Z,34.632,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-20T04:00:00.000Z,33.588,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-27T15:00:00.000Z,15.657,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-27T19:00:00.000Z,32.013,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-28T03:00:00.000Z,192.609,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-28T20:00:00.000Z,12.265,20.0.267.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-12T12:00:00.000Z,55.004,20.0.332.0.1712.0.0.0,20,0,0,1712
innovative_cheese_machine,2022-05-04T18:00:00.000Z,32.921,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-09T17:00:00.000Z,12.876,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-09T22:00:00.000Z,16.156,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-11T21:00:00.000Z,65.235,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-25T10:00:00.000Z,14.17,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-06-13T10:00:00.000Z,15.44,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-06-27T07:00:00.000Z,129.361,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-15T08:00:00.000Z,34.12,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-07-22T19:00:00.000Z,14.316,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-31T04:00:00.000Z,32.044,20.0.623.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-04T04:00:00.000Z,8.833,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-05T02:00:00.000Z,32.765,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-05T11:00:00.000Z,10.325,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T12:00:00.000Z,30.222,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T19:00:00.000Z,450.874,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-10T05:00:00.000Z,10.824,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-11T17:00:00.000Z,15.184,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-17T18:00:00.000Z,8.307,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-18T16:00:00.000Z,9.577,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-18T22:00:00.000Z,9.463,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-18T23:00:00.000Z,12.19,20.0.625.0.2300.0.0.0,20,0,0,2300
