machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-04T22:17:48.451Z,2022-05-04T22:17:58.508Z,10.057,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T23:06:54.872Z,2022-05-04T23:10:13.162Z,198.29,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-04T23:12:41.515Z,2022-05-04T23:17:24.102Z,282.587,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T02:21:46.727Z,2022-05-05T02:25:11.968Z,205.241,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-05T02:25:59.593Z,2022-05-05T02:26:32.358Z,32.765,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-05T02:35:30.242Z,2022-05-05T02:36:16.620Z,46.378,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-05T03:41:42.380Z,2022-05-05T03:47:23.187Z,340.807,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-05T04:27:40.613Z,2022-05-05T04:28:20.790Z,40.177,91.0.122.0.1019.0.1.0,91,0,0,1019
innovative_cheese_machine,2022-05-05T06:05:56.738Z,2022-05-05T06:06:35.542Z,38.804,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-05T06:21:05.780Z,2022-05-05T06:21:39.538Z,33.758,93.0.122.0.1019.0.1.0,93,0,0,1019
innovative_cheese_machine,2022-05-05T07:08:31.103Z,2022-05-05T07:10:04.660Z,93.557,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T07:50:41.407Z,2022-05-05T07:54:26.109Z,224.702,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T09:28:34.534Z,2022-05-05T09:28:34.598Z,0.064,318.1.768.0.2104.0.0.0,318,1,0,2104
innovative_cheese_machine,2022-05-05T10:01:15.976Z,2022-05-05T10:03:57.274Z,161.298,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T11:51:24.163Z,2022-05-05T11:51:34.488Z,10.325,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-05T12:57:24.354Z,2022-05-05T13:13:59.265Z,994.911,41.1.926.2.1095.0.1.0,41,1,2,1095
innovative_cheese_machine,2022-05-05T13:13:59.305Z,2022-05-05T13:14:17.517Z,18.212,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-05T13:14:17.557Z,2022-05-05T13:14:27.181Z,9.624,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-05T13:20:57.490Z,2022-05-05T13:23:59.638Z,182.148,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T15:48:03.768Z,2022-05-05T15:52:21.779Z,258.011,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-05T17:44:06.884Z,2022-05-05T17:45:18.937Z,72.053,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T18:57:54.186Z,2022-05-05T18:58:30.210Z,36.024,92.0.122.0.1019.0.1.0,92,0,0,1019
